date,DEI,HR,unconscious bias,structural racism
2020-04-01,4,65,25,29
2020-05-01,4,61,26,33
2020-06-01,6,62,100,100
2020-07-01,6,68,66,44
2020-08-01,6,60,58,44
2020-09-01,6,57,68,49
2020-10-01,6,62,64,45
2020-11-01,5,53,42,34
2020-12-01,5,58,34,23
2021-01-01,5,75,35,20
2021-02-01,6,94,47,33
2021-03-01,6,86,51,43
2021-04-01,7,69,49,36
2021-05-01,7,67,41,26
2021-06-01,7,64,39,26
2021-07-01,7,69,36,18
2021-08-01,8,66,37,17
2021-09-01,9,67,46,35
2021-10-01,10,64,48,35
2021-11-01,10,61,39,34
2021-12-01,8,61,32,26
2022-01-01,7,75,37,27
2022-02-01,7,86,49,47
2022-03-01,8,80,50,41
2022-04-01,8,77,49,46
2022-05-01,8,68,44,35
2022-06-01,8,71,45,27
2022-07-01,8,76,39,22
2022-08-01,9,71,47,20
2022-09-01,9,69,55,37
2022-10-01,10,68,51,51
2022-11-01,13,60,47,47
2022-12-01,7,59,43,34
2023-01-01,8,86,51,27
2023-02-01,10,95,51,46
2023-03-01,11,87,48,40
2023-04-01,9,87,50,40
2023-05-01,11,65,42,32
2023-06-01,11,68,39,24
2023-07-01,9,70,34,27
2023-08-01,10,68,39,20
2023-09-01,10,69,45,37
2023-10-01,10,67,47,45
2023-11-01,11,63,41,35
2023-12-01,11,61,33,30
2024-01-01,18,80,34,22
2024-02-01,13,93,48,40
2024-03-01,20,80,46,40
2024-04-01,17,85,45,41
2024-05-01,13,70,32,30
2024-06-01,14,66,32,24
2024-07-01,44,69,34,19
2024-08-01,18,69,36,14
2024-09-01,16,66,45,35
2024-10-01,17,67,45,43
2024-11-01,22,65,36,35
2024-12-01,18,65,28,30
2025-01-01,100,83,33,24
2025-02-01,97,91,37,38
2025-03-01,41,87,33,35
2025-04-01,26,94,32,36
2025-05-01,18,74,28,26
2025-06-01,15,82,29,24
2025-07-01,15,100,30,33
2025-08-01,14,83,31,26
2025-09-01,16,86,33,36
2025-10-01,14,73,32,48
2025-11-01,14,79,30,48
2025-12-01,13,73,21,44
2026-01-01,11,87,23,28
