,DEI,diversity training,unconscious bias,equity and inclusion
2025-04-09 00:00:00,80,,,0
2025-04-10 00:00:00,84,,,83
2025-04-11 00:00:00,71,,,0
2025-04-12 00:00:00,79,,,0
2025-04-13 00:00:00,77,,,0
2025-04-14 00:00:00,87,,,100
2025-04-15 00:00:00,100,,,0
2025-04-16 00:00:00,91,,,0
2025-04-17 00:00:00,87,,,0
2025-04-18 00:00:00,87,,,0
2025-04-19 00:00:00,82,,,0
2025-04-20 00:00:00,76,,,0
2025-04-21 00:00:00,85,,,0
2025-04-22 00:00:00,94,,,0
2025-04-23 00:00:00,87,,,0
2025-04-24 00:00:00,87,,,0
2025-04-25 00:00:00,77,,,0
2025-04-26 00:00:00,74,,,0
2025-04-27 00:00:00,70,,,0
2025-04-28 00:00:00,71,,,0
2025-04-29 00:00:00,83,,,0
2025-04-30 00:00:00,70,,,0
2025-05-01 00:00:00,82,,,0
2025-05-02 00:00:00,83,,,0
2025-05-03 00:00:00,70,,,0
2025-05-04 00:00:00,70,,,0
2025-05-05 00:00:00,70,,,0
2025-05-06 00:00:00,63,,,0
2025-05-07 00:00:00,66,,,0
