date,recipe ideas
2020-04-01,65
2020-05-01,59
2020-06-01,48
2020-07-01,48
2020-08-01,43
2020-09-01,43
2020-10-01,50
2020-11-01,53
2020-12-01,62
2021-01-01,55
2021-02-01,56
2021-03-01,44
2021-04-01,45
2021-05-01,43
2021-06-01,44
2021-07-01,43
2021-08-01,43
2021-09-01,44
2021-10-01,46
2021-11-01,53
2021-12-01,61
2022-01-01,62
2022-02-01,59
2022-03-01,50
2022-04-01,54
2022-05-01,51
2022-06-01,54
2022-07-01,56
2022-08-01,54
2022-09-01,52
2022-10-01,59
2022-11-01,65
2022-12-01,72
2023-01-01,62
2023-02-01,64
2023-03-01,57
2023-04-01,60
2023-05-01,54
2023-06-01,55
2023-07-01,55
2023-08-01,52
2023-09-01,53
2023-10-01,63
2023-11-01,66
2023-12-01,80
2024-01-01,65
2024-02-01,59
2024-03-01,60
2024-04-01,53
2024-05-01,50
2024-06-01,51
2024-07-01,54
2024-08-01,53
2024-09-01,55
2024-10-01,56
2024-11-01,67
2024-12-01,75
2025-01-01,59
2025-02-01,60
2025-03-01,56
2025-04-01,57
2025-05-01,50
2025-06-01,54
2025-07-01,59
2025-08-01,58
2025-09-01,60
2025-10-01,70
2025-11-01,79
2025-12-01,100
2026-01-01,81
