date,structural racism,systemic racism
2020-04-01,29,2
2020-05-01,33,8
2020-06-01,100,100
2020-07-01,44,26
2020-08-01,44,19
2020-09-01,49,21
2020-10-01,45,12
2020-11-01,34,10
2020-12-01,23,5
2021-01-01,20,8
2021-02-01,33,10
2021-03-01,43,6
2021-04-01,36,14
2021-05-01,26,8
2021-06-01,26,7
2021-07-01,18,5
2021-08-01,17,4
2021-09-01,35,4
2021-10-01,35,4
2021-11-01,34,4
2021-12-01,26,3
2022-01-01,27,3
2022-02-01,47,5
2022-03-01,41,4
2022-04-01,46,5
2022-05-01,35,4
2022-06-01,27,2
2022-07-01,22,3
2022-08-01,20,2
2022-09-01,37,4
2022-10-01,51,4
2022-11-01,47,4
2022-12-01,34,3
2023-01-01,27,3
2023-02-01,46,5
2023-03-01,40,4
2023-04-01,40,4
2023-05-01,32,4
2023-06-01,24,3
2023-07-01,27,2
2023-08-01,20,2
2023-09-01,37,3
2023-10-01,45,3
2023-11-01,35,3
2023-12-01,30,2
2024-01-01,22,2
2024-02-01,40,3
2024-03-01,40,3
2024-04-01,41,3
2024-05-01,30,3
2024-06-01,24,2
2024-07-01,19,2
2024-08-01,14,2
2024-09-01,35,3
2024-10-01,43,3
2024-11-01,35,3
2024-12-01,30,3
2025-01-01,24,2
2025-02-01,38,4
2025-03-01,35,3
2025-04-01,36,3
2025-05-01,26,3
2025-06-01,24,2
2025-07-01,33,2
2025-08-01,26,2
2025-09-01,36,4
2025-10-01,48,4
2025-11-01,48,3
2025-12-01,44,3
2026-01-01,28,2
