date,unconscious bias,intersectionality,structural racism,white privilege,gender identity
2024-12-29,44,27,0,32,34
2025-01-05,67,45,25,42,50
2025-01-12,78,69,36,41,57
2025-01-19,85,76,44,57,89
2025-01-26,96,86,48,52,88
2025-02-02,90,96,48,59,88
2025-02-09,86,87,53,59,80
2025-02-16,90,85,46,53,86
2025-02-23,100,100,61,56,100
2025-03-02,81,90,34,52,90
2025-03-09,77,80,47,57,79
2025-03-16,84,70,62,51,78
2025-03-23,79,74,62,45,73
2025-03-30,78,68,39,62,80
2025-04-06,78,76,56,53,78
2025-04-13,70,75,44,57,73
2025-04-20,76,74,55,51,75
2025-04-27,81,76,53,50,72
2025-05-04,82,71,43,46,67
2025-05-11,64,66,42,46,60
2025-05-18,63,44,44,44,54
2025-05-25,49,52,27,40,50
2025-06-01,74,50,40,35,58
2025-06-08,78,57,43,100,60
2025-06-15,51,47,29,56,62
2025-06-22,72,45,43,39,58
2025-06-29,53,45,25,35,59
2025-07-06,56,48,30,38,57
2025-07-13,79,44,69,37,65
2025-07-20,86,46,49,42,64
2025-07-27,69,53,61,48,82
2025-08-03,86,44,53,33,61
2025-08-10,84,43,33,32,63
2025-08-17,72,43,31,30,54
2025-08-24,72,66,33,40,76
2025-08-31,61,80,37,37,67
2025-09-07,84,83,49,65,76
2025-09-14,78,92,57,71,97
2025-09-21,92,89,60,51,90
2025-09-28,89,86,64,52,87
2025-10-05,77,88,56,54,82
2025-10-12,69,79,65,49,73
2025-10-19,62,88,67,53,75
2025-10-26,87,72,78,56,96
2025-11-02,87,86,88,55,99
2025-11-09,76,77,55,54,93
2025-11-16,75,73,78,50,86
2025-11-23,39,51,61,33,74
2025-11-30,72,72,100,50,90
2025-12-07,65,82,82,50,94
2025-12-14,40,54,53,42,80
2025-12-21,30,24,38,29,51
2025-12-28,33,25,30,34,58
2026-01-04,64,36,49,38,71
2026-01-11,52,48,23,38,64
2026-01-18,56,52,34,35,54
2026-01-25,58,60,43,40,58
