date,"Diversity, equity, and inclusion (Topic)",Diversity training (Topic)
2025-04-09,76,0
2025-04-10,75,0
2025-04-11,73,0
2025-04-12,64,71
2025-04-13,61,0
2025-04-14,68,0
2025-04-15,98,86
2025-04-16,94,0
2025-04-17,87,0
2025-04-18,76,0
2025-04-19,71,0
2025-04-20,57,0
2025-04-21,65,58
2025-04-22,80,0
2025-04-23,80,0
2025-04-24,100,100
2025-04-25,77,0
2025-04-26,59,0
2025-04-27,59,0
2025-04-28,59,0
2025-04-29,66,60
2025-04-30,60,59
2025-05-01,60,0
2025-05-02,54,64
2025-05-03,49,0
2025-05-04,44,0
2025-05-05,44,0
2025-05-06,45,0
2025-05-07,42,0
